URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
K730;3;T-060;TEKİRDAĞ;1;21 Aralık 2021 Salı;24 Aralık 2021 Cuma;3
K522;3;T-034;İSTANBUL;1;1 Haziran 2022 Çarşamba;3 Haziran 2022 Cuma;2
K730;3;T-060;TEKİRDAĞ;1;7 Haziran 2022 Salı;9 Haziran 2022 Perşembe;2
K26;4;T-036;İSTANBUL;1;13 Temmuz 2019 Cumartesi;16 Temmuz 2019 Salı;3
K26;4;T-036;İSTANBUL;1;6 Eylül 2019 Cuma;11 Eylül 2019 Çarşamba;5
K26;4;T-036;İSTANBUL;1;23 Ekim 2019 Çarşamba;29 Ekim 2019 Salı;6
K26;4;T-036;İSTANBUL;1;28 Kasım 2019 Perşembe;3 Aralık 2019 Salı;5
K26;4;T-036;İSTANBUL;1;13 Ocak 2020 Pazartesi;14 Ocak 2020 Salı;1
K26;4;T-036;İSTANBUL;1;12 Şubat 2020 Çarşamba;14 Şubat 2020 Cuma;2
K26;4;T-036;İSTANBUL;1;5 Mart 2020 Perşembe;10 Mart 2020 Salı;5
K26;4;T-036;İSTANBUL;1;2 Temmuz 2020 Perşembe;6 Temmuz 2020 Pazartesi;4
K26;4;T-036;İSTANBUL;1;19 Ağustos 2020 Çarşamba;21 Ağustos 2020 Cuma;2
K26;4;T-036;İSTANBUL;1;21 Eylül 2020 Pazartesi;22 Eylül 2020 Salı;1
K26;4;T-036;İSTANBUL;1;19 Ekim 2020 Pazartesi;26 Ekim 2020 Pazartesi;7
K26;4;T-036;İSTANBUL;1;18 Kasım 2020 Çarşamba;20 Kasım 2020 Cuma;2
K26;4;T-036;İSTANBUL;1;21 Aralık 2020 Pazartesi;22 Aralık 2020 Salı;1
K26;4;T-036;İSTANBUL;1;9 Mart 2021 Salı;19 Mart 2021 Cuma;10
K26;4;T-036;İSTANBUL;1;12 Nisan 2021 Pazartesi;13 Nisan 2021 Salı;1
K26;4;T-036;İSTANBUL;1;27 Nisan 2021 Salı;28 Nisan 2021 Çarşamba;1
K26;4;T-036;İSTANBUL;1;27 Mayıs 2021 Perşembe;1 Haziran 2021 Salı;5
K26;4;T-036;İSTANBUL;1;28 Haziran 2021 Pazartesi;30 Haziran 2021 Çarşamba;2
K26;4;T-036;İSTANBUL;1;2 Ağustos 2021 Pazartesi;4 Ağustos 2021 Çarşamba;2
K26;4;T-036;İSTANBUL;1;31 Ağustos 2021 Salı;1 Eylül 2021 Çarşamba;1
K26;4;T-036;İSTANBUL;1;15 Ekim 2021 Cuma;21 Ekim 2021 Perşembe;6
K26;4;T-036;İSTANBUL;1;8 Aralık 2021 Çarşamba;10 Aralık 2021 Cuma;2
K26;4;T-036;İSTANBUL;1;10 Ocak 2022 Pazartesi;11 Ocak 2022 Salı;1
K26;4;T-036;İSTANBUL;1;9 Şubat 2022 Çarşamba;10 Şubat 2022 Perşembe;1
K26;4;T-036;İSTANBUL;1;7 Mart 2022 Pazartesi;15 Mart 2022 Salı;8
K26;4;T-036;İSTANBUL;1;6 Nisan 2022 Çarşamba;12 Nisan 2022 Salı;6
K26;4;T-036;İSTANBUL;1;9 Mayıs 2022 Pazartesi;11 Mayıs 2022 Çarşamba;2
K26;4;T-036;İSTANBUL;1;31 Mayıs 2022 Salı;2 Haziran 2022 Perşembe;2
K266;4;MZ-258;İSTANBUL;1;9 Haziran 2021 Çarşamba;15 Haziran 2021 Salı;6
BY-804;5;T-077;İSTANBUL;0;27 Eylül 2021 Pazartesi;28 Eylül 2021 Salı;1
K980;5;T-036;İSTANBUL;1;8 Ocak 2021 Cuma;13 Ocak 2021 Çarşamba;5
K91;6;T-038;İSTANBUL;1;23 Temmuz 2019 Salı;24 Temmuz 2019 Çarşamba;1
MRL313;6;MZ-401;;0;15 Mayıs 2017 Pazartesi;18 Mayıs 2017 Perşembe;3
K980;6;T-036;İSTANBUL;1;21 Aralık 2020 Pazartesi;22 Aralık 2020 Salı;1
BY-823;6;T-077;İSTANBUL;0;4 Ekim 2021 Pazartesi;7 Ekim 2021 Perşembe;3
K980;7;T-036;İSTANBUL;1;8 Aralık 2020 Salı;9 Aralık 2020 Çarşamba;1
I24108;10;MZ-005;İSTANBUL;1;12 Aralık 2019 Perşembe;21 Aralık 2019 Cumartesi;9
K744;10;T-0108;İSTANBUL;1;7 Şubat 2020 Cuma;17 Şubat 2020 Pazartesi;10
K744;10;T-0108;İSTANBUL;1;13 Ekim 2021 Çarşamba;8 Kasım 2021 Pazartesi;26
K744;10;T-0108;İSTANBUL;1;13 Ekim 2021 Çarşamba;18 Kasım 2021 Perşembe;36
